ID Proceso,Prioridad,ID Nodo,Ticket,Hora de creación del proceso,Hora de entrada a la SC,Hora de salida de la SC,Hora de muerte del proceso,ACK's
492188,1,1,26,22:01:22.89,22:01:29.82,22:01:31.91,22:01:31.91,49
492191,1,1,29,22:01:22.91,22:01:31.82,22:01:33.93,22:01:33.93,0
492221,1,1,42,22:01:22.93,22:01:33.82,22:01:35.95,22:01:35.95,0
492204,1,1,58,22:01:22.95,22:01:35.82,22:01:37.97,22:01:37.97,0
492212,1,1,62,22:01:22.97,22:01:37.82,22:01:39.99,22:01:39.99,0
492214,1,1,65,22:01:22.99,22:01:39.82,22:01:41.101,22:01:41.101,0
492205,1,1,120,22:01:22.101,22:01:41.82,22:01:43.103,22:01:43.103,0
492216,1,1,85,22:01:22.103,22:01:43.82,22:01:45.105,22:01:45.105,0
492208,1,1,85,22:01:22.105,22:01:45.82,22:01:47.107,22:01:47.107,0
492235,1,1,89,22:01:22.107,22:01:47.82,22:01:49.109,22:01:49.109,0
492233,1,1,93,22:01:22.109,22:01:49.82,22:01:51.111,22:01:51.111,0
492241,1,1,97,22:01:22.111,22:01:51.82,22:01:53.113,22:01:53.113,0
492247,1,1,98,22:01:22.113,22:01:53.82,22:01:55.115,22:01:55.115,0
492245,1,1,102,22:01:22.115,22:01:55.82,22:01:57.117,22:01:57.117,0
492240,1,1,108,22:01:22.117,22:01:57.82,22:01:59.119,22:01:59.119,0
492248,1,1,110,22:01:22.119,22:01:59.82,22:02:01.121,22:02:01.121,0
492246,1,1,111,22:01:22.121,22:02:01.82,22:02:03.123,22:02:03.123,0
492274,1,1,130,22:01:22.123,22:02:03.82,22:02:05.125,22:02:05.125,0
492271,1,1,123,22:01:22.125,22:02:05.82,22:02:07.127,22:02:07.127,0
492249,1,1,115,22:01:22.127,22:02:07.82,22:02:09.129,22:02:09.129,0
492276,1,1,121,22:01:22.129,22:02:09.82,22:02:11.131,22:02:11.131,0
492229,1,1,81,22:01:22.131,22:02:11.82,22:02:13.133,22:02:13.133,0
492264,1,1,139,22:01:22.133,22:02:13.82,22:02:15.135,22:02:15.135,0
492272,1,1,128,22:01:22.135,22:02:15.82,22:02:17.137,22:02:17.137,0
492279,1,1,147,22:01:22.137,22:02:17.82,22:02:19.139,22:02:19.139,0
492372,1,1,152,22:01:22.139,22:02:19.82,22:02:21.141,22:02:21.141,0
492361,1,1,157,22:01:22.141,22:02:21.82,22:02:23.143,22:02:23.143,0
492364,1,1,148,22:01:22.143,22:02:23.82,22:02:25.145,22:02:25.145,0
492184,1,1,168,22:01:22.145,22:02:25.82,22:02:27.147,22:02:27.147,0
492266,1,1,174,22:01:22.147,22:02:27.82,22:02:29.149,22:02:29.149,0
492232,1,1,177,22:01:22.149,22:02:29.82,22:02:31.151,22:02:31.151,0
492269,1,1,178,22:01:22.151,22:02:31.82,22:02:33.153,22:02:33.153,0
492211,1,1,181,22:01:22.153,22:02:33.82,22:02:36.156,22:02:36.156,0
492376,1,1,183,22:01:22.156,22:02:36.82,22:02:38.158,22:02:38.158,0
492193,2,1,15,22:01:22.158,22:02:38.82,22:02:40.160,22:02:40.160,0
492202,2,1,15,22:01:22.160,22:02:40.82,22:02:42.162,22:02:42.162,0
492203,2,1,16,22:01:22.162,22:02:42.82,22:02:44.164,22:02:44.164,49
492187,2,1,15,22:01:22.164,22:02:44.82,22:02:46.166,22:02:46.166,49
492207,2,1,22,22:01:22.164,22:02:44.82,22:02:46.166,22:02:46.166,0
492185,2,1,31,22:01:22.166,22:02:46.82,22:02:48.168,22:02:48.168,0
492218,2,1,36,22:01:22.166,22:02:46.82,22:02:48.168,22:02:48.168,0
492206,2,1,54,22:01:22.168,22:02:48.82,22:02:50.170,22:02:50.170,0
492198,2,1,46,22:01:22.168,22:02:48.82,22:02:50.170,22:02:50.170,0
492210,2,1,39,22:01:22.170,22:02:50.82,22:02:52.172,22:02:52.172,0
492222,2,1,53,22:01:22.170,22:02:50.82,22:02:52.172,22:02:52.172,0
492209,2,1,69,22:01:22.172,22:02:52.82,22:02:54.174,22:02:54.174,0
