ID Proceso,Prioridad,ID Nodo,Ticket,Hora de creación del proceso,Hora de entrada a la SC,Hora de salida de la SC,Hora de muerte del proceso,Retardo
19073,2,1,18,05:57:27.0,01:00:00.47,01:00:00.0,01:00:00.0,0
19076,3,1,19,05:57:27.0,01:00:00.47,01:00:00.0,01:00:00.0,0
19078,3,1,23,05:57:27.0,01:00:00.47,01:00:00.0,01:00:00.0,0
19079,3,1,23,05:57:27.0,01:00:00.47,01:00:00.0,01:00:00.0,0
19080,2,1,26,05:57:27.0,01:00:00.47,01:00:00.0,01:00:00.0,0
19074,2,1,27,05:57:27.0,01:00:00.47,01:00:00.0,01:00:00.0,0
19072,3,1,27,05:57:27.0,01:00:00.47,01:00:00.0,01:00:00.0,0
19075,2,1,31,05:57:27.0,01:00:00.47,01:00:00.0,01:00:00.0,0
19077,2,1,32,05:57:27.0,01:00:00.47,01:00:00.0,01:00:00.0,0
19071,1,1,32,05:57:27.0,01:00:00.47,01:00:00.0,01:00:00.0,0
