 ID Proceso,Prioridad,ID Nodo,Ticket,Hora de creación del proceso,Hora de entrada a la SC,Hora de salida de la SC,Hora de muerte del proceso,Retardo
18654,3,1,15,05:37:42.862,05:37:42.862,05:37:44.864,05:37:44.864,0
18657,2,1,18,05:37:42.862,05:37:42.862,05:37:44.864,05:37:44.864,0
18656,1,1,24,05:37:42.862,05:37:42.862,05:37:44.864,05:37:44.864,0
18659,1,1,27,05:37:42.864,05:37:44.862,05:37:46.866,05:37:46.866,0
18652,1,1,29,05:37:42.864,05:37:44.862,05:37:46.866,05:37:46.866,0
18655,2,1,20,05:37:42.864,05:37:44.862,05:37:46.866,05:37:46.866,0
18658,2,1,22,05:37:42.866,05:37:46.862,05:37:48.868,05:37:48.868,0
18660,2,1,22,05:37:42.866,05:37:46.862,05:37:48.868,05:37:48.868,0
18661,2,1,29,05:37:42.866,05:37:46.862,05:37:48.868,05:37:48.868,0
18653,3,1,21,05:37:42.868,05:37:48.862,05:37:50.870,05:37:50.870,0
