ID Proceso,Prioridad,ID Nodo,Ticket,Hora de creación del proceso,Hora de entrada a la SC,Hora de salida de la SC,Hora de muerte del proceso,Retardo
0,1,1,7,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,0
0,1,1,7,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,0
0,1,1,8,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,0
0,1,1,10,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,0
0,1,1,10,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,0
0,1,1,1,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,0
0,1,1,12,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,0
0,1,1,7,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,0
0,1,1,7,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,0
0,1,1,13,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,0
0,1,1,3,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,0
0,1,1,14,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,0
0,1,1,2,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,0
0,1,1,12,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,0
0,1,1,11,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,0
