Valor,ID Proceso,Prioridad,ID Nodo,Ticket,Hora de creación del proceso,Hora de entrada a la SC,Hora de salida de la SC,Hora de muerte del proceso,Retardo
58,726,1,0,7627,09:54:38.078,09:54:43.083,09:55:42.142,10:33:47.427,3
87,836,3,0,420,10:34:32.472,10:35:31.531,10:35:38.538,11:12:33.753,1
4,929,0,3,6587,10:26:28.988,10:26:47.007,10:27:43.063,11:14:38.878,3
59,460,0,0,8132,10:02:37.557,10:03:09.589,10:03:49.629,10:51:27.487,3
21,651,1,1,80,09:57:45.265,09:57:52.272,09:58:08.288,10:11:58.118,1
71,969,3,7,6559,09:58:27.307,09:59:04.344,09:59:23.363,10:15:47.347,1
78,609,1,0,7362,10:26:00.960,10:26:08.968,10:26:19.979,10:29:30.170,4
67,730,2,8,7181,09:40:56.256,09:41:20.280,09:41:43.303,10:28:15.095,2
78,191,2,8,6357,10:29:32.172,10:30:12.212,10:31:00.260,10:49:02.342,0
65,195,2,2,1470,10:22:15.735,10:22:52.772,10:23:51.831,10:48:07.287,8
48,468,1,8,2505,10:28:35.115,10:28:45.125,10:29:01.141,10:41:39.899,4
35,606,0,4,9213,10:30:42.242,10:31:33.293,10:31:55.315,11:06:25.385,6
37,935,3,3,1194,10:35:46.546,10:36:43.603,10:37:03.623,10:45:21.121,6
46,663,2,5,3942,10:30:31.231,10:31:02.262,10:31:04.264,11:01:16.076,9
55,662,3,7,4669,09:48:46.726,09:49:43.783,09:49:51.791,10:22:06.726,6
23,146,2,6,8690,09:58:09.289,09:58:23.303,09:58:24.304,10:39:53.793,5
28,84,3,9,2338,09:43:58.438,09:44:25.465,09:44:57.497,10:29:23.163,3
73,12,0,5,966,09:44:22.462,09:45:09.509,09:46:06.566,10:07:43.863,7
28,951,3,2,3196,09:56:44.204,09:57:35.255,09:58:09.289,10:12:58.178,4
87,630,3,4,1846,10:17:23.443,10:18:05.485,10:18:25.505,10:34:40.480,1
71,866,2,4,9057,10:04:19.659,10:05:18.718,10:06:05.765,10:08:23.903,0
23,531,0,3,6032,09:48:04.684,09:49:02.742,09:49:23.763,10:16:53.413,8
40,209,3,6,2576,09:39:55.195,09:40:29.229,09:40:56.256,10:16:13.373,7
63,963,3,1,878,09:41:47.307,09:42:45.365,09:43:10.390,10:40:09.809,7
62,764,2,1,5423,10:15:59.359,10:16:08.368,10:16:39.399,10:38:27.707,7
37,667,0,7,6709,10:30:53.253,10:31:32.292,10:31:41.301,11:21:54.314,6
3,582,0,5,5433,09:56:25.185,09:56:40.200,09:57:23.243,10:28:32.112,4
51,590,3,7,2494,10:35:35.535,10:35:42.542,10:36:18.578,10:39:46.786,0
98,9,2,1,6042,10:26:12.972,10:26:52.012,10:26:54.014,10:54:31.671,0
73,723,0,9,6258,10:34:03.443,10:34:13.453,10:34:36.476,10:47:23.243,2
33,366,3,2,7749,09:57:23.243,09:58:04.284,09:58:04.284,09:59:57.397,5
90,295,3,3,5469,09:58:04.284,09:58:44.324,09:59:29.369,10:30:09.209,7
58,405,1,5,2316,09:48:20.700,09:48:52.732,09:49:39.779,10:28:11.091,5
26,346,3,0,5421,10:35:22.522,10:36:13.573,10:36:17.577,11:20:30.230,1
83,328,3,4,243,10:27:36.056,10:28:00.080,10:28:41.121,11:07:58.478,7
51,524,0,9,5993,09:46:26.586,09:46:57.617,09:47:46.666,10:12:36.156,0
89,640,0,2,4629,09:45:30.530,09:46:21.581,09:46:45.605,10:13:02.182,4
86,188,3,5,1724,10:30:13.213,10:30:58.258,10:31:48.308,10:48:19.299,5
95,50,3,9,2461,09:55:59.159,09:56:15.175,09:56:28.188,09:57:47.267,1
96,978,1,9,1385,10:13:54.234,10:13:57.237,10:14:33.273,10:43:03.983,7
9,649,1,3,1167,10:00:33.433,10:00:39.439,10:01:20.480,10:27:28.048,7
88,908,2,0,8205,09:54:56.096,09:55:08.108,09:55:22.122,10:36:55.615,1
58,833,1,6,1004,10:24:50.890,10:25:21.921,10:25:34.934,11:25:06.506,6
4,648,2,5,3509,10:29:49.189,10:30:43.243,10:31:20.280,11:11:01.661,3
84,215,2,6,4001,10:01:30.490,10:02:07.527,10:02:25.545,10:11:22.082,5
0,678,0,0,788,10:19:38.578,10:19:55.595,10:20:13.613,10:29:28.168,4
59,727,1,1,108,10:29:34.174,10:29:42.182,10:30:01.201,10:45:49.149,1
60,456,0,3,6907,09:55:10.110,09:56:07.167,09:56:22.182,10:34:27.467,5
29,15,2,0,2397,10:25:24.924,10:25:54.954,10:26:44.004,10:57:29.849,4
89,776,2,1,9235,10:00:17.417,10:01:15.475,10:01:34.494,10:31:47.307,1
11,514,1,1,5301,09:42:19.339,09:43:15.395,09:43:19.399,10:16:07.367,1
50,465,1,2,2176,09:55:32.132,09:56:05.165,09:57:03.223,10:46:07.167,8
56,799,0,9,4252,10:10:14.014,10:10:18.018,10:10:44.044,10:57:34.854,8
18,474,0,5,2707,10:17:06.426,10:17:09.429,10:17:13.433,11:10:36.636,3
3,851,0,1,1306,09:49:00.740,09:49:49.789,09:50:13.813,10:49:06.346,1
44,75,3,3,8665,10:13:39.219,10:14:21.261,10:15:14.314,10:52:08.528,3
89,427,1,0,6105,09:40:35.235,09:40:52.252,09:41:09.269,10:27:38.058,2
37,636,0,5,3499,10:03:33.613,10:03:59.639,10:04:41.681,10:52:00.520,1
85,779,1,0,6901,10:15:22.322,10:15:58.358,10:16:27.387,10:21:16.676,9
35,903,3,8,919,10:08:47.927,10:09:07.947,10:09:08.948,10:09:51.991,6
